ID	Title	Composer	Singer	Language	Mood	Genre
63	Kal Ho Naa Ho	Shankar-Ehsaan-Loy	Sonu Nigam	Hindi	Sad	Ballad
64	Tum Hi Ho	Ankit Tiwari	Arijit Singh	Hindi	Romantic	Ballad
65	Jeena Jeena	Atif Aslam	Atif Aslam	Hindi	Romantic	Ballad
66	Soch Na Sake	Amaal Mallik	Arijit Singh	Hindi	Romantic	Ballad
67	Bolna	Tanishk Bagchi	Arijit Singh	Hindi	Romantic	Ballad
68	Nashe Si Chadh Gayi	Vishal-Shekhar	Arijit Singh	Hindi	Energetic	Dance
69	Kar Gayi Chull	Badshah	Arijit Singh	Hindi	Energetic	Dance
70	Badtameez Dil	Pritam	Benny Dayal	Hindi	Energetic	Dance
71	The Humma Song	A.R. Rahman	Badshah	Hindi	Energetic	Dance
72	Galti Se Mistake	Amit Trivedi	Arijit Singh	Hindi	Happy	Pop
73	London Thumakda	Vishal-Shekhar	Labh Janjua	Hindi	Energetic	Dance
74	Swag Se Swagat	Vishal-Shekhar	Neha Kakkar	Hindi	Energetic	Dance
75	Dilbar	Tanishk Bagchi	Neha Kakkar	Hindi	Energetic	Dance
76	Rait Zara Si	A.R. Rahman	Arijit Singh	Hindi	Romantic	Ballad
77	Raataan Lambiyan	Tanishk Bagchi	Jubin Nautiyal	Hindi	Romantic	Ballad
78	Tum Hi Aana	Jubin Nautiyal	Jubin Nautiyal	Hindi	Romantic	Ballad
79	Param Sundari	A.R. Rahman	Shreya Ghoshal	Hindi	Romantic	Ballad
80	Kabhii Tumhhe	Javed Ali	Javed Ali	Hindi	Romantic	Ballad
81	Ghungroo	Vishal-Shekhar	Arijit Singh	Hindi	Energetic	Dance
82	Mehrama	Pritam	Darshan Raval	Hindi	Romantic	Pop
83	Dil Ko Karaar Aaya	Neha Kakkar	Neha Kakkar	Hindi	Romantic	Pop
84	Garmi	Badshah	Neha Kakkar	Hindi	Energetic	Dance
85	Coca Cola	Luv Ranjan	Arijit Singh	Hindi	Romantic	Pop
86	Tere Bin	Nusrat Fateh Ali Khan	Rahat Fateh Ali Khan	Hindi	Romantic	Sufi
87	Tujhe Kitna Chahne Lage	Mithoon	Arijit Singh	Hindi	Romantic	Ballad
88	Bekhayali	Sachet-Parampara	Sachet Tandon	Hindi	Sad	Ballad
89	Dil Diyan Gallan	Vishal-Shekhar	Atif Aslam	Hindi	Romantic	Ballad
90	Tera Yaar Hoon Main	Rochak Kohli	Arijit Singh	Hindi	Friendship	Pop
91	Saibo	Sachin-Jigar	Shreya Ghoshal	Hindi	Romantic	Indie-Pop
92	Khaabon Ke Parindey	A.R. Rahman	Alyssa Mendonsa	Hindi	Dreamy	Soundtrack
93	Bulleya	Pritam	Amit Mishra	Hindi	Mysterious	Sufi-Rock
94	Agar Tum Saath Ho	A.R. Rahman	Alka Yagnik	Hindi	Emotional	Ballad
95	Patakha Guddi	A.R. Rahman	Nooran Sisters	Hindi	Energetic	Folk
96	Dangal	Pritam	Daler Mehndi	Hindi	Motivational	Folk-Pop
97	Bom Diggy Diggy	Zack Knight	Zack Knight	Hindi	Energetic	Dance-Pop
98	O Saki Saki	Tanishk Bagchi	Neha Kakkar	Hindi	Energetic	Dance
99	Lae Dooba	Amit Trivedi	Sunidhi Chauhan	Hindi	Romantic	Pop
100	Koka	Badshah	Badshah	Hindi	Energetic	Hip-Hop
101	Genda Phool	Badshah	Badshah	Hindi	Happy	Pop
102	Morni Banke	Guru Randhawa	Guru Randhawa	Punjabi	Romantic	Pop
103	Lahore	Guru Randhawa	Guru Randhawa	Punjabi	Energetic	Bhangra
104	Humsafar	Badshah	Arijit Singh	Hindi	Romantic	Pop
105	Proper Patola	Diljit Dosanjh	Diljit Dosanjh	Punjabi	Energetic	Bhangra
106	Do You Know	Diljit Dosanjh	Diljit Dosanjh	Punjabi	Romantic	Pop
107	Laembadgini	Diljit Dosanjh	Diljit Dosanjh	Punjabi	Energetic	Bhangra
108	Viah	Diljit Dosanjh	Diljit Dosanjh	Punjabi	Romantic	Folk
109	Prada	Jass Manak	Jass Manak	Punjabi	Confident	Pop
110	Lehenga	Jass Manak	Jass Manak	Punjabi	Romantic	Pop
111	Yaar Beli	Karan Aujla	Karan Aujla	Punjabi	Romantic	Pop
112	Don't Look Back	Karan Aujla	Karan Aujla	Punjabi	Motivational	Pop
113	B-Town	Karan Aujla	Karan Aujla	Punjabi	Energetic	Hip-Hop
114	Legends	Sidhu Moosewala	Sidhu Moosewala	Punjabi	Motivational	Hip-Hop
115	295	Sidhu Moosewala	Sidhu Moosewala	Punjabi	Aggressive	Hip-Hop
116	So High	Sidhu Moosewala	Sidhu Moosewala	Punjabi	Confident	Hip-Hop
117	Illegal Weapon	Jasmine Sandlas	Jasmine Sandlas	Punjabi	Energetic	Dance
118	Surma Surma	Ammy Virk	Ammy Virk	Punjabi	Romantic	Folk
119	Naah	Harrdy Sandhu	Harrdy Sandhu	Punjabi	Romantic	Pop
120	Kya Baat Ay	Harrdy Sandhu	Harrdy Sandhu	Punjabi	Happy	Pop
121	Bijlee Bijlee	Harrdy Sandhu	Harrdy Sandhu	Punjabi	Energetic	Bhangra
122	Jannat	B Praak	B Praak	Punjabi	Romantic	Ballad
123	Filhall	B Praak	B Praak	Punjabi	Sad	Pop
124	Mitti Di Khushboo	Ayushmann Khurrana	Ayushmann Khurrana	Hindi	Emotional	Folk
125	Nazm Nazm	Arko	Arko	Hindi	Romantic	Indie
126	Teri Mitti	B Praak	B Praak	Hindi	Patriotic	Ballad
127	Dil Bechara	A.R. Rahman	A.R. Rahman	Hindi	Sad	Soundtrack
128	Naina	Arijit Singh	Arijit Singh	Hindi	Sad	Ballad
129	Dil Chahta Hai	Shankar-Ehsaan-Loy	Shaan	Hindi	Happy	Pop
130	Woh Lamhe	Pritam	Atif Aslam	Hindi	Sad	Ballad
131	Tere Hone Laga Hoon	Pritam	Atif Aslam	Hindi	Romantic	Ballad
132	Tu Jaane Na	Pritam	Atif Aslam	Hindi	Romantic	Ballad
133	Pehli Nazar Mein	Pritam	Atif Aslam	Hindi	Romantic	Ballad
134	Aadat	Atif Aslam	Atif Aslam	Hindi	Sad	Rock
135	Tanha Dil	Shankar-Ehsaan-Loy	Shaan	Hindi	Sad	Pop
136	Tum Hi Ho (Lo-Fi)	Ankit Tiwari	Lo-Fi Waves	Hindi	Nostalgic	Lo-Fi
137	Butter	BTS	BTS	Korean	Whimsical	K-Pop
138	Chaand Baaliyan	Aditya A	Aditya A	Hindi	Dreamy	Synthwave
139	Bole Chudiyan	Jatin-Lalit	Alka Yagnik	Hindi	Energetic	Bollywood
140	Kabhi Khushi Kabhie Gham	Jatin-Lalit	Lata Mangeshkar	Hindi	Emotional	Classic-Bollywood
141	Maa	Shankar-Ehsaan-Loy	Shankar Mahadevan	Hindi	Emotional	Ballad
142	Teri Mitti Female	B Praak	Payal Dev	Hindi	Patriotic	Ballad
143	Chhoti Si Asha	Ram Sampath	Shreya Ghoshal	Hindi	Hopeful	Pop
144	Tum Se Hi (Lo-Fi)	Pritam	Lo-Fi Dreamer	Hindi	Nostalgic	Lo-Fi
145	Ye Dooriyan	Mohit Chauhan	Mohit Chauhan	Hindi	Sad	Indie
146	Phir Mohabbat	Mithoon	Arijit Singh	Hindi	Sad	Ballad
147	Ik Vaari Aa	A.R. Rahman	Arijit Singh	Hindi	Romantic	Ballad
148	Tu Bhi Raat Hai	Papon	Papon	Hindi	Melancholic	Indie
149	Tujhe Bhula Diya	Shekhar Ravjiani	Mohit Chauhan	Hindi	Sad	Pop
150	Phir Le Aya Dil	Pritam	Arijit Singh	Hindi	Romantic	Ballad
151	Aaj Se Teri	Papon	Papon	Hindi	Romantic	Folk
152	Kyon	Papon	Papon	Hindi	Melancholic	Indie
153	Moh Moh Ke Dhaage	Papon	Papon	Hindi	Emotional	Folk
154	Koi Kahe Kehta Rahe	Shankar-Ehsaan-Loy	Shaan	Hindi	Happy	Pop
155	Ve Kamleya	Arijit Singh	Arijit Singh	Hindi	Romantic	Ballad
156	Malang Sajna	Sachet Tandon	Sachet Tandon	Hindi	Romantic	Pop
157	Tum Prem Ho	Arko	Arijit Singh	Hindi	Romantic	Ballad
158	Tajdar-e-Haram	Atif Aslam	Atif Aslam	Urdu	Spiritual	Sufi
159	Kinna Sona	Atif Aslam	Atif Aslam	Punjabi	Romantic	Pop
160	Duniyaa	Luv Ranjan	Arijit Singh	Hindi	Happy	Pop
161	Tu Hi Hai	Amaal Mallik	Arijit Singh	Hindi	Romantic	Ballad
162	Sooraj Dooba Hain	Amaal Mallik	Arijit Singh	Hindi	Happy	Pop
163	Dil Cheez Tujhe Dedi	Amaal Mallik	Arijit Singh	Hindi	Romantic	Pop
164	DJ Waley Babu	Badshah	Badshah	Hindi	Energetic	Dance
165	Buzz	Badshah	Aastha Gill	Hindi	Energetic	Dance
166	Birthday	Katy Perry	Katy Perry	English	Energetic	Pop
167	Celebration	Kool & The Gang	Kool & The Gang	English	Energetic	Disco
168	Happy Birthday	Stevie Wonder	Stevie Wonder	English	Joyful	Pop
169	Aaj Ki Party	Mika Singh	Mika Singh	Hindi	Energetic	Bhangra
170	Party All Night	Yo Yo Honey Singh	Yo Yo Honey Singh	Hindi	Energetic	Hip-Hop
171	High Heels	Yo Yo Honey Singh	Yo Yo Honey Singh	Hindi	Fun	Dance
172	Stand By Me	Ben E. King	Ben E. King	English	Comforting	Soul
173	You Raise Me Up	Secret Garden	Josh Groban	English	Inspirational	Ballad
174	Wind Beneath My Wings	Larry Henley	Bette Midler	English	Emotional	Ballad
175	Kaun Tujhe	Palak Muchhal	Palak Muchhal	Hindi	Romantic	Pop
176	Raabta	Pritam	Arijit Singh	Hindi	Romantic	Ballad
177	Tere Sang Yaara	Atif Aslam	Atif Aslam	Hindi	Romantic	Ballad
178	Kaise Hua (Wedding Version)	Vishal Mishra	Vishal Mishra	Hindi	Romantic	Ballad
179	Channa Ve	Asees Kaur	Asees Kaur	Hindi	Romantic	Folk-Pop
180	Sauda Khara Khara	Happy Raikoti	Diljit Dosanjh	Punjabi	Happy	Bhangra
181	Bamb Aa Gaya	Amrit Maan	Amrit Maan	Punjabi	Energetic	Bhangra
182	Lover (Diljit)	Diljit Dosanjh	Diljit Dosanjh	Punjabi	Romantic	Pop
183	Born to Shine	Diljit Dosanjh	Diljit Dosanjh	Punjabi	Confident	Pop
184	Goat	Diljit Dosanjh	Diljit Dosanjh	Punjabi	Confident	Hip-Hop
185	G.O.A.T	Diljit Dosanjh	Diljit Dosanjh	Punjabi	Energetic	Hip-Hop
186	Ikk Kudi	Amit Trivedi	Alia Bhatt	Hindi	Peaceful	Indie-Folk
187	Ae Watan	Shankar-Ehsaan-Loy	Arijit Singh	Hindi	Patriotic	Ballad
188	Sandese Aate Hai	Anu Malik	Sonu Nigam	Hindi	Patriotic	Classic-Bollywood
189	Mile Sur Mera Tumhara	Various	Various	Hindi	Patriotic	Folk
190	Vande Mataram	A.R. Rahman	A.R. Rahman	Hindi	Patriotic	Folk
191	Chak De India	Salim-Sulaiman	Sukhwinder Singh	Hindi	Motivational	Pop
192	Swades	A.R. Rahman	Udit Narayan	Hindi	Emotional	Soundtrack
193	Rang De Basanti	A.R. Rahman	Daler Mehndi	Hindi	Energetic	Folk-Rock
194	Jai Ho	A.R. Rahman	Sukhwinder Singh	Hindi	Motivational	Folk-Dance
195	Tum Ho	Mohit Chauhan	Mohit Chauhan	Hindi	Romantic	Ballad
196	Kuch Kuch Hota Hai	Jatin-Lalit	Udit Narayan	Hindi	Romantic	Classic-Bollywood
197	Dil To Pagal Hai	Uttam Singh	Lata Mangeshkar	Hindi	Romantic	Classic-Bollywood
198	Mere Haath Mein	Shankar-Ehsaan-Loy	Udit Narayan	Hindi	Romantic	Pop
199	Suraj Hua Maddham	Jatin-Lalit	Kavita Krishnamurthy	Hindi	Romantic	Classic-Bollywood
200	Rabba	Shankar-Ehsaan-Loy	Mohit Chauhan	Hindi	Sad	Ballad
201	Dynamite	BTS	BTS	Korean	Energetic	K-Pop
202	Fake Love	BTS	BTS	Korean	Sad	K-Pop
203	Boy With Luv	BTS	BTS	Korean	Happy	K-Pop
204	Spring Day	BTS	BTS	Korean	Melancholic	K-Pop
205	DNA	BTS	BTS	Korean	Energetic	K-Pop
206	Idol	BTS	BTS	Korean	Confident	K-Pop
207	Growl	EXO	EXO	Korean	Energetic	K-Pop
208	Love Shot	EXO	EXO	Korean	Energetic	K-Pop
209	Power	EXO	EXO	Korean	Energetic	K-Pop
210	Call Me Baby	EXO	EXO	Korean	Happy	K-Pop
211	Next Level	SM Entertainment	Aespa	Korean	Confident	K-Pop
212	Black Mamba	SM Entertainment	Aespa	Korean	Energetic	K-Pop
213	Fancy	JYP Entertainment	TWICE	Korean	Happy	K-Pop
214	TT	JYP Entertainment	TWICE	Korean	Playful	K-Pop
215	Feel Special	JYP Entertainment	TWICE	Korean	Empowering	K-Pop
216	SOLO	YG Entertainment	JENNIE	Korean	Confident	K-Pop
217	How You Like That	YG Entertainment	BLACKPINK	Korean	Energetic	K-Pop
218	Lovesick Girls	YG Entertainment	BLACKPINK	Korean	Sad	K-Pop
219	Pink Venom	YG Entertainment	BLACKPINK	Korean	Aggressive	K-Pop
220	Shut Down	YG Entertainment	BLACKPINK	Korean	Confident	K-Pop
221	Stressed Out	Twenty One Pilots	Twenty One Pilots	English	Anxious	Alternative
222	Ride	Twenty One Pilots	Twenty One Pilots	English	Melancholic	Alternative
223	Heathens	Twenty One Pilots	Twenty One Pilots	English	Mysterious	Alternative
224	Tear In My Heart	Twenty One Pilots	Twenty One Pilots	English	Happy	Alternative
225	Jumpsuit	Twenty One Pilots	Twenty One Pilots	English	Dramatic	Alternative
226	Radioactive	Imagine Dragons	Imagine Dragons	English	Energetic	Rock
227	Demons	Imagine Dragons	Imagine Dragons	English	Sad	Rock
228	Thunder	Imagine Dragons	Imagine Dragons	English	Hopeful	Rock
229	Natural	Imagine Dragons	Imagine Dragons	English	Motivational	Rock
230	Enemy	Imagine Dragons	Imagine Dragons	English	Aggressive	Rock
231	Faded	Alan Walker	Alan Walker	English	Melancholic	EDM
232	Spectre	Alan Walker	Alan Walker	English	Mysterious	EDM
233	On My Way	Alan Walker	Alan Walker	English	Hopeful	EDM
234	Alone	Alan Walker	Alan Walker	English	Sad	EDM
235	The Nights	Avicii	Avicii	English	Inspirational	EDM
236	Wake Me Up	Avicii	Avicii	English	Hopeful	EDM
237	Levels	Avicii	Avicii	English	Energetic	EDM
238	Hey Brother	Avicii	Avicii	English	Emotional	EDM
239	Starlight	Muse	Muse	English	Dreamy	Rock
240	Supermassive Black Hole	Muse	Muse	English	Energetic	Rock
241	Sunset Lover	Petit Biscuit	Petit Biscuit	French	Peaceful	Electronic
242	Retune	Petit Biscuit	Petit Biscuit	French	Dreamy	Electronic
243	Something Just Like This	Coldplay	Coldplay	English	Romantic	Pop
244	Yellow	Coldplay	Coldplay	English	Romantic	Pop
245	The Scientist	Coldplay	Coldplay	English	Sad	Ballad
246	Fix You	Coldplay	Coldplay	English	Comforting	Rock
247	Paradise	Coldplay	Coldplay	English	Happy	Pop
248	A Sky Full of Stars	Coldplay	Coldplay	English	Energetic	Pop
249	Clocks	Coldplay	Coldplay	English	Thoughtful	Rock
250	Magic	Coldplay	Coldplay	English	Peaceful	Pop
251	Sunflower	Post Malone	Post Malone	English	Happy	Hip-Hop
252	Rockstar	Post Malone	Post Malone	English	Sad	Hip-Hop
253	Circles	Post Malone	Post Malone	English	Sad	Pop
254	White Iverson	Post Malone	Post Malone	English	Confident	Hip-Hop
255	Congratulations	Post Malone	Post Malone	English	Emotional	Hip-Hop
256	Breezeblocks	Alt-J	Alt-J	English	Mysterious	Indie
257	Something Good	Alt-J	Alt-J	English	Dreamy	Indie
258	Tessellate	Alt-J	Alt-J	English	Melancholic	Indie
259	Handmade	Alt-J	Alt-J	English	Peaceful	Indie
260	Do I Wanna Know	Arctic Monkeys	Arctic Monkeys	English	Mysterious	Indie-Rock
261	R U Mine	Arctic Monkeys	Arctic Monkeys	English	Energetic	Indie-Rock
262	505	Arctic Monkeys	Arctic Monkeys	English	Romantic	Indie-Rock
263	Why'd You Only Call Me When You're High	Arctic Monkeys	Arctic Monkeys	English	Melancholic	Indie-Rock
264	Fluorescent Adolescent	Arctic Monkeys	Arctic Monkeys	English	Nostalgic	Indie-Rock
265	Mr. Brightside	The Killers	The Killers	English	Energetic	Indie-Rock
266	Human	The Killers	The Killers	English	Thoughtful	Rock
267	Somebody Told Me	The Killers	The Killers	English	Energetic	Indie-Rock
268	Marching On	OneRepublic	OneRepublic	English	Motivational	Pop
269	Apologize	OneRepublic	OneRepublic	English	Sad	Pop
270	If I Lose Myself	OneRepublic	OneRepublic	English	Energetic	Pop
271	Love Runs Out	OneRepublic	OneRepublic	English	Energetic	Rock
272	Rescue Me	OneRepublic	OneRepublic	English	Hopeful	Pop
273	Let Her Go	Passenger	Passenger	English	Sad	Indie-Folk
274	Keep Me In Mind	Passenger	Passenger	English	Melancholic	Indie-Folk
275	Scare Away the Dark	Passenger	Passenger	English	Hopeful	Indie-Folk
276	Bones	Imagine Dragons	Imagine Dragons	English	Energetic	Rock
277	Enemy ft Arcane	Imagine Dragons	Imagine Dragons	English	Aggressive	Rock
278	Follow You	Imagine Dragons	Imagine Dragons	English	Romantic	Rock
279	Slow Down	Rudimental	Mahalia	English	Romantic	Soul
280	True Colors	Anna Kendrick	Anna Kendrick	English	Emotional	Pop
281	Story of My Life	One Direction	One Direction	English	Sad	Pop
282	What Makes You Beautiful	One Direction	One Direction	English	Happy	Pop
283	Night Changes	One Direction	One Direction	English	Romantic	Pop
284	Little Things	One Direction	One Direction	English	Romantic	Ballad
285	Kiss You	One Direction	One Direction	English	Playful	Pop
286	Mama	Jonas Brothers	Jonas Brothers	English	Happy	Pop
287	Sucker	Jonas Brothers	Jonas Brothers	English	Happy	Pop
288	Cool	Jonas Brothers	Jonas Brothers	English	Confident	Pop
289	Burnin Up	Jonas Brothers	Jonas Brothers	English	Energetic	Pop
290	Flowers	Miley Cyrus	Miley Cyrus	English	Empowering	Pop
291	Wrecking Ball	Miley Cyrus	Miley Cyrus	English	Sad	Pop
292	The Climb	Miley Cyrus	Miley Cyrus	English	Motivational	Pop
293	Roar	Katy Perry	Katy Perry	English	Empowering	Pop
294	Firework	Katy Perry	Katy Perry	English	Inspirational	Pop
295	Dark Horse	Katy Perry	Katy Perry	English	Mysterious	Pop
296	Teenage Dream	Katy Perry	Katy Perry	English	Happy	Pop
297	Rolling in the Deep	Adele	Adele	English	Angry	Soul
298	Someone Like You	Adele	Adele	English	Sad	Ballad
299	Hello	Adele	Adele	English	Sad	Ballad
300	Set Fire to the Rain	Adele	Adele	English	Dramatic	Soul
301	Skyfall	Adele	Adele	English	Dramatic	Ballad
302	Easy On Me	Adele	Adele	English	Sad	Ballad
303	Halo	Beyonce	Beyonce	English	Romantic	Pop
304	Crazy in Love	Beyonce	Beyonce	English	Energetic	R&B
305	Love On Top	Beyonce	Beyonce	English	Happy	R&B
306	Lemonade	Beyonce	Beyonce	English	Empowering	R&B
307	Run the World	Beyonce	Beyonce	English	Empowering	Pop
308	Hold On	Justin Bieber	Justin Bieber	English	Hopeful	Pop
309	Ghost	Justin Bieber	Justin Bieber	English	Sad	Pop
310	Anyone	Justin Bieber	Justin Bieber	English	Romantic	Pop
311	Intentions	Justin Bieber	Quavo	English	Romantic	R&B
312	All I Want for Christmas Is You	Mariah Carey	Mariah Carey	English	Joyful	Christmas
313	Jingle Bell Rock	Bobby Helms	Bobby Helms	English	Joyful	Christmas
314	Last Christmas	George Michael	Wham	English	Sad	Christmas
315	White Christmas	Bing Crosby	Bing Crosby	English	Peaceful	Christmas
316	Winter Wonderland	Felix Bernard	Dean Martin	English	Joyful	Christmas
317	Srivalli	Devi Sri Prasad	Sid Sriram	Telugu	Sad	Soundtrack
318	Pushpa Pushpa	Devi Sri Prasad	Nakash Aziz	Telugu	Energetic	Action
319	Oo Antava	Devi Sri Prasad	Indravathi Chauhan	Telugu	Sensual	Dance
320	Buttabomma	Armaan Malik	Armaan Malik	Telugu	Romantic	Pop
321	Saami Saami	Devi Sri Prasad	Mounika Yadav	Telugu	Energetic	Dance
322	Kannazhaga	Anirudh Ravichander	Dhanush	Tamil	Romantic	Pop
323	Why This Kolaveri Di	Anirudh Ravichander	Dhanush	Tamil	Fun	Pop
324	Rowdy Baby	Yuvan Shankar Raja	Dhanush	Tamil	Energetic	Dance
325	Maari Theme	Anirudh Ravichander	Anirudh Ravichander	Tamil	Energetic	Action
326	Rekka	Anirudh Ravichander	Anirudh Ravichander	Tamil	Energetic	Dance
327	Unnai Kaanadhu Naan	A.R. Rahman	Karthik	Tamil	Romantic	Ballad
328	Vennilave Vennilave	A.R. Rahman	Unnikrishnan	Tamil	Romantic	Classic
329	Muqabla	A.R. Rahman	Haricharan	Hindi	Energetic	Dance
330	Aa Jao Na	Vishal-Shekhar	Arijit Singh	Hindi	Romantic	Pop
331	Lo Safar	Jubin Nautiyal	Jubin Nautiyal	Hindi	Sad	Ballad
332	Judaai	Atif Aslam	Atif Aslam	Hindi	Sad	Ballad
333	Dil Ibadat	Pritam	K.K.	Hindi	Romantic	Ballad
334	Teri Ore	Pritam	Rahat Fateh Ali Khan	Hindi	Romantic	Ballad
335	Ankhon Mein Teri	Shankar-Ehsaan-Loy	K.K.	Hindi	Sad	Ballad
336	Tu Hi Meri Shab Hai	Pritam	Mohit Chauhan	Hindi	Romantic	Ballad
337	Khuda Jaane	Shankar-Ehsaan-Loy	K.K.	Hindi	Sad	Pop
338	Pehli Baar Mohabbat	Kailash Kher	Kailash Kher	Hindi	Romantic	Indie
339	Teri Deewani	Kailash Kher	Kailash Kher	Hindi	Devotional	Folk-Pop
340	Saiyyan	Kailash Kher	Kailash Kher	Hindi	Happy	Folk-Pop
341	Tu Hai	A.R. Rahman	Mohit Chauhan	Hindi	Romantic	Ballad
342	Jab Se Tere Naina	Shantanu Moitra	Shantanu Moitra	Hindi	Romantic	Ballad
343	Tujh Mein Rab Dikhta Hai	Salim-Sulaiman	Roop Kumar Rathod	Hindi	Romantic	Ballad
344	Abhi Mujh Mein Kahin	Pritam	Sonu Nigam	Hindi	Sad	Ballad
345	Ye Tune Kya Kiya	Pritam	Lucky Ali	Hindi	Melancholic	Indie
346	Ae Dil Hai Mushkil (Title)	Pritam	Arijit Singh	Hindi	Sad	Ballad
347	Jeete Hain Chal	Pritam	Arijit Singh	Hindi	Motivational	Pop
348	Sooha Saaha	A.R. Rahman	Nooran Sisters	Hindi	Energetic	Folk
349	Patola	Badshah	Aastha Gill	Hindi	Energetic	Dance
350	Suit Suit	Guru Randhawa	Guru Randhawa	Hindi	Energetic	Dance-Pop
351	High Rated Gabru	Guru Randhawa	Guru Randhawa	Punjabi	Confident	Pop
352	Ishare Tere	Guru Randhawa	Guru Randhawa	Hindi	Romantic	Dance-Pop
353	Made In India	Guru Randhawa	Guru Randhawa	Hindi	Happy	Pop
354	Slowly Slowly	Guru Randhawa	Guru Randhawa	Hindi	Romantic	Pop
